N,wavenumber_cm-1,frequency_THz,wavelength_vac_nm,strength
2194,16296.0904,488.544500,613.64412,34
2195,16296.2753,488.550043,613.63715,15
2196,16296.4301,488.554684,613.63133,41
2197,16297.1358,488.575840,613.60475,36
2198,16297.1767,488.577066,613.60321,35
2199,16297.2281,488.578607,613.60128,14
2200,16297.6516,488.591303,613.58533,39
2201,16298.0891,488.604419,613.56886,39
2202,16298.6834,488.622236,613.54649,31
2203,16298.8275,488.626556,613.54107,40
2204,16299.1911,488.637456,613.52738,33
2205,16299.5919,488.649472,613.51229,16
2206,16299.7270,488.653522,613.50721,41
2207,16300.2129,488.668089,613.48892,36
2208,16300.4576,488.675425,613.47971,32
2209,16300.7144,488.683124,613.47005,39
2210,16300.7969,488.685597,613.46694,14
2211,16301.0118,488.692040,613.45885,14
2212,16301.3438,488.701993,613.44636,36
2213,16301.6056,488.709841,613.43651,15
2214,16301.7224,488.713343,613.43211,32
2215,16302.0706,488.723782,613.41901,39
2216,16302.2162,488.728147,613.41353,35
2217,16302.4267,488.734457,613.40561,20
2218,16302.9427,488.749926,613.38620,44
2219,16303.2146,488.758078,613.37597,37
2220,16303.6615,488.771476,613.35915,35
2221,16303.7009,488.772657,613.35767,40
2222,16304.5209,488.797240,613.32682,38
2223,16304.6857,488.802180,613.32062,35
2224,16304.8750,488.807855,613.31350,13
2225,16304.9875,488.811228,613.30927,14
2226,16305.1617,488.816450,613.30272,34
2227,16305.2319,488.818555,613.30008,42
2228,16306.0813,488.844019,613.26813,47
2229,16306.1378,488.845713,613.26601,44
2230,16306.6064,488.859761,613.24838,42
2231,16306.7818,488.865020,613.24179,37
2232,16306.8516,488.867112,613.23916,16
2233,16307.5680,488.888589,613.21222,33
2234,16307.6162,488.890034,613.21041,41
2235,16308.0297,488.902431,613.19486,36
2236,16308.3147,488.910975,613.18414,42
2237,16308.9823,488.930989,613.15904,39
2238,16309.1377,488.935648,613.15320,45
2239,16309.4387,488.944672,613.14189,48
2240,16309.8241,488.956226,613.12740,36
2241,16310.0677,488.963529,613.11824,24
2242,16310.3746,488.972729,613.10670,36
2243,16310.6347,488.980527,613.09693,39
2244,16310.8214,488.986124,613.08991,43
2245,16311.2254,488.998236,613.07472,14
2246,16311.3161,489.000955,613.07131,44
2247,16311.7504,489.013975,613.05499,40
2248,16312.0174,489.021979,613.04496,16
2249,16312.1142,489.024881,613.04132,50
2250,16312.1883,489.027103,613.03853,44
2251,16312.5705,489.038561,613.02417,19
2252,16312.7859,489.045018,613.01608,37
2253,16313.1036,489.054543,613.00414,39
2254,16313.5348,489.067470,612.98793,38
2255,16313.5732,489.068621,612.98649,41
2256,16313.7255,489.073187,612.98077,15
2257,16314.2385,489.088566,612.96149,45
2258,16314.4389,489.094574,612.95396,42
2259,16314.5659,489.098381,612.94919,15
2260,16314.8622,489.107264,612.93806,44
2261,16315.0123,489.111764,612.93242,47
2262,16315.0579,489.113131,612.93071,17
2263,16315.2001,489.117394,612.92537,17
2264,16315.6686,489.131439,612.90777,38
2265,16315.7535,489.133985,612.90458,36
2266,16316.1704,489.146483,612.88892,39
2267,16316.2098,489.147664,612.88744,19
2268,16316.4302,489.154272,612.87916,41
2269,16317.0553,489.173012,612.85568,48
2270,16317.0815,489.173797,612.85469,50
2271,16317.4610,489.185174,612.84044,43
2272,16317.5303,489.187252,612.83784,23
2273,16317.8295,489.196222,612.82660,47
2274,16318.3268,489.211130,612.80793,38
2275,16318.4716,489.215471,612.80249,40
2276,16318.6688,489.221383,612.79508,18
2277,16318.7279,489.223155,612.79286,40
2278,16319.2086,489.237566,612.77481,42
2279,16319.5864,489.248892,612.76063,45
2280,16319.8426,489.256573,612.75101,46
2281,16319.9771,489.260605,612.74596,50
2282,16320.2363,489.268376,612.73623,18
2283,16320.5682,489.278326,612.72377,48
2284,16320.8219,489.285931,612.71424,40
2285,16321.1104,489.294580,612.70341,18
2286,16321.1999,489.297264,612.70005,52
2287,16321.9067,489.318453,612.67352,43
2288,16322.0419,489.322506,612.66844,43
2289,16322.0920,489.324008,612.66656,18
2290,16322.4177,489.333772,612.65434,45
2291,16322.5269,489.337046,612.65024,48
2292,16322.7211,489.342868,612.64295,20
2293,16323.2309,489.358151,612.62382,61
2294,16323.6118,489.369570,612.60952,38
2295,16323.8371,489.376325,612.60107,40
2296,16324.4202,489.393806,612.57918,44
2297,16324.5267,489.396999,612.57519,45
2298,16324.7890,489.404862,612.56534,49
2299,16325.1298,489.415079,612.55256,48
2300,16325.1919,489.416941,612.55023,19
2301,16325.4542,489.424804,612.54038,14
2302,16325.5800,489.428576,612.53566,38
2303,16325.8071,489.435384,612.52714,48
2304,16325.9375,489.439293,612.52225,46
2305,16326.3984,489.453111,612.50496,41
2306,16326.7219,489.462809,612.49282,44
2307,16327.0067,489.471347,612.48214,20
2308,16327.0694,489.473227,612.47979,62
2309,16327.1912,489.476878,612.47522,23
2310,16327.6502,489.490639,612.45800,48
2311,16327.8419,489.496386,612.45081,38
2312,16328.1875,489.506747,612.43785,43
2313,16328.3072,489.510335,612.43336,52
2314,16328.8825,489.527582,612.41178,40
2315,16328.9468,489.529510,612.40937,50
2316,16329.2839,489.539616,612.39673,44
2317,16329.4334,489.544098,612.39112,17
2318,16329.5258,489.546868,612.38765,41
2319,16330.0272,489.561899,612.36885,40
2320,16330.0966,489.563980,612.36625,48
2321,16330.3590,489.571846,612.35641,38
2322,16330.6703,489.581179,612.34474,31
2323,16330.7266,489.582867,612.34263,47
2324,16331.0920,489.593821,612.32892,43
2325,16331.2863,489.599646,612.32164,41
2326,16331.4161,489.603538,612.31677,46
2327,16331.8383,489.616195,612.30094,21
2328,16331.9051,489.618197,612.29844,55
2329,16332.1344,489.625072,612.28984,45
2330,16332.4558,489.634707,612.27779,66
2331,16333.0684,489.653072,612.25483,50
2332,16333.1598,489.655812,612.25140,46
2333,16333.4715,489.665157,612.23972,44
2334,16333.6106,489.669327,612.23450,44
2335,16334.1656,489.685965,612.21370,40
2336,16334.2118,489.687351,612.21197,51
2337,16334.4694,489.695073,612.20232,45
2338,16334.7441,489.703308,612.19202,49
2339,16334.8469,489.706390,612.18817,17
2340,16335.1513,489.715516,612.17676,45
2341,16335.3316,489.720921,612.17000,57
2342,16335.4494,489.724453,612.16559,44
2343,16335.8553,489.736621,612.15038,43
2344,16336.1180,489.744497,612.14053,41
2345,16336.4145,489.753386,612.12942,47
2346,16336.5342,489.756974,612.12494,23
2347,16336.5885,489.758602,612.12290,22
2348,16336.9498,489.769434,612.10937,48
2349,16337.0667,489.772938,612.10499,47
2350,16337.2097,489.777225,612.09963,16
2351,16337.3514,489.781473,612.09432,43
2352,16337.5119,489.786285,612.08831,46
2353,16337.6343,489.789954,612.08372,24
2354,16337.9936,489.800726,612.07026,41
2355,16338.0198,489.801511,612.06928,43
2356,16338.2701,489.809015,612.05990,40
2357,16338.5740,489.818126,612.04852,44
2358,16338.8223,489.825570,612.03922,29
2359,16338.9008,489.827923,612.03628,48
2360,16339.0755,489.833161,612.02973,48
2361,16339.1739,489.836111,612.02605,45
2362,16339.5528,489.847470,612.01185,22
2363,16339.6171,489.849397,612.00945,50
2364,16339.7897,489.854572,612.00298,40
2365,16339.9142,489.858304,611.99832,23
2366,16340.0566,489.862573,611.99298,38
2367,16340.1064,489.864066,611.99112,43
2368,16340.6439,489.880180,611.97099,52
2369,16340.9197,489.888448,611.96066,44
2370,16341.1219,489.894510,611.95309,51
2371,16341.2539,489.898467,611.94814,24
2372,16341.5117,489.906196,611.93849,43
2373,16341.6399,489.910039,611.93369,51
2374,16341.7636,489.913748,611.92906,37
2375,16341.8737,489.917048,611.92493,20
2376,16342.1130,489.924223,611.91597,44
2377,16342.1720,489.925991,611.91377,20
2378,16342.3443,489.931157,611.90731,48
2379,16342.5919,489.938580,611.89804,44
2380,16342.6212,489.939458,611.89695,42
2381,16343.0884,489.953464,611.87945,53
2382,16343.1542,489.955437,611.87699,40
2383,16343.3323,489.960776,611.87032,25
2384,16343.3952,489.962662,611.86797,39
2385,16343.5842,489.968328,611.86089,48
2386,16343.9485,489.979249,611.84725,46
2387,16344.0410,489.982023,611.84379,47
2388,16344.1813,489.986229,611.83854,53
2389,16344.4121,489.993148,611.82990,26
2390,16344.5273,489.996601,611.82559,42
2391,16344.7194,490.002360,611.81840,43
2392,16344.9744,490.010005,611.80885,51
2393,16345.4575,490.024488,611.79077,57
2394,16345.5583,490.027510,611.78700,28
2395,16345.6978,490.031692,611.78177,42
2396,16345.8398,490.035949,611.77646,25
2397,16345.8873,490.037373,611.77468,48
2398,16346.2091,490.047021,611.76264,40
2399,16346.3525,490.051320,611.75727,43
2400,16346.4261,490.053526,611.75452,38
2401,16346.6306,490.059657,611.74686,20
2402,16346.7844,490.064268,611.74111,51
2403,16346.9256,490.068501,611.73582,46
2404,16347.1362,490.074814,611.72794,43
2405,16347.2382,490.077872,611.72413,48
2406,16347.6213,490.089357,611.70979,40
2407,16347.6568,490.090421,611.70846,45
2408,16347.7612,490.093551,611.70456,25
2409,16347.8241,490.095437,611.70220,37
2410,16348.0993,490.103687,611.69190,52
2411,16348.2993,490.109683,611.68442,46
2412,16348.5044,490.115832,611.67675,6
2413,16348.7107,490.122017,611.66903,23
2414,16348.8305,490.125608,611.66455,25
2415,16348.9483,490.129140,611.66014,63
2416,16349.1458,490.135061,611.65275,35
2417,16349.3452,490.141038,611.64529,41
2418,16349.5952,490.148533,611.63594,44
2419,16349.7729,490.153861,611.62929,58
2420,16349.9477,490.159101,611.62275,30
2421,16350.1610,490.165495,611.61477,49
2422,16350.2117,490.167015,611.61288,38
2423,16350.3401,490.170865,611.60807,26
2424,16350.3930,490.172451,611.60609,35
2425,16350.5733,490.177856,611.59935,47
2426,16350.8141,490.185075,611.59034,43
2427,16350.9552,490.189305,611.58507,52
2428,16350.9920,490.190408,611.58369,43
2429,16351.3570,490.201351,611.57004,40
2430,16351.3934,490.202442,611.56868,36
2431,16351.5616,490.207484,611.56238,31
2432,16351.7315,490.212578,611.55603,48
2433,16351.9560,490.219308,611.54763,42
2434,16352.1173,490.224144,611.54160,70
2435,16352.4898,490.235311,611.52767,56
2436,16352.5582,490.237362,611.52511,21
2437,16352.6519,490.240171,611.52161,33
2438,16352.8662,490.246595,611.51360,39
2439,16353.0193,490.251185,611.50787,42
2440,16353.1692,490.255679,611.50226,60
2441,16353.2216,490.257250,611.50031,48
2442,16353.5219,490.266253,611.48908,32
2443,16353.5920,490.268354,611.48646,44
2444,16353.6655,490.270558,611.48371,29
2445,16353.9372,490.278703,611.47355,41
2446,16354.0058,490.280760,611.47098,39
2447,16354.1431,490.284876,611.46585,36
2448,16354.2594,490.288362,611.46150,32
2449,16354.2970,490.289490,611.46010,44
2450,16354.4699,490.294673,611.45363,34
2451,16354.6343,490.299602,611.44748,48
2452,16354.7594,490.303352,611.44281,26
2453,16354.9168,490.308071,611.43692,36
2454,16354.9842,490.310091,611.43440,44
2455,16355.0442,490.311890,611.43216,34
2456,16355.3090,490.319829,611.42226,51
2457,16355.3462,490.320944,611.42087,32
2458,16355.4638,490.324469,611.41647,24
2459,16355.6473,490.329971,611.40961,35
2460,16355.7482,490.332996,611.40584,36
2461,16355.8665,490.336542,611.40142,28
2462,16355.9678,490.339579,611.39763,45
2463,16356.1381,490.344684,611.39127,33
2464,16356.2460,490.347919,611.38723,21
2465,16356.2949,490.349385,611.38541,41
2466,16356.3827,490.352017,611.38212,27
2467,16356.5078,490.355768,611.37745,33
2468,16356.6053,490.358691,611.37380,53
2469,16356.8543,490.366156,611.36450,26
2470,16356.9246,490.368263,611.36187,42
2471,16357.1880,490.376160,611.35202,33
2472,16357.2223,490.377188,611.35074,44
2473,16357.2748,490.378762,611.34878,26
2474,16357.4267,490.383316,611.34310,27
2475,16357.4987,490.385474,611.34041,29
2476,16357.5327,490.386493,611.33914,49
2477,16357.5819,490.387968,611.33730,25
2478,16357.7898,490.394201,611.32953,30
2479,16357.8184,490.395059,611.32846,36
2480,16357.8689,490.396573,611.32658,20
2481,16358.0603,490.402311,611.31942,24
2482,16358.1145,490.403935,611.31740,36
2483,16358.3127,490.409877,611.30999,27
2484,16358.3927,490.412276,611.30700,48
2485,16358.4907,490.415214,611.30334,34
2486,16358.5465,490.416886,611.30125,22
2487,16358.6082,490.418736,611.29895,14
2488,16358.6825,490.420964,611.29617,38
2489,16358.7611,490.423320,611.29324,24
2490,16358.9535,490.429088,611.28605,47
2491,16359.0979,490.433417,611.28065,31
2492,16359.1324,490.434451,611.27936,21
2493,16359.2289,490.437344,611.27576,32
2494,16359.4269,490.443280,611.26836,20
2495,16359.4924,490.445244,611.26591,43
2496,16359.5279,490.446308,611.26458,29
2497,16359.6459,490.449846,611.26017,20
2498,16359.6961,490.451351,611.25830,22
2499,16359.7609,490.453293,611.25588,39
2500,16359.8327,490.455446,611.25319,16
2501,16360.0093,490.460740,611.24660,35
2502,16360.2644,490.468388,611.23707,30
2503,16360.5087,490.475712,611.22794,41
2504,16360.5749,490.477696,611.22546,28
2505,16360.7541,490.483069,611.21877,36
2506,16360.9856,490.490009,611.21012,34
2507,16361.2251,490.497189,611.20117,38
2508,16361.4462,490.503817,611.19292,42
2509,16361.6037,490.508539,611.18703,31
2510,16361.6715,490.510572,611.18450,32
2511,16361.8338,490.515437,611.17844,24
2512,16361.8843,490.516951,611.17655,33
2513,16362.0969,490.523325,611.16861,31
2514,16362.3045,490.529548,611.16085,38
2515,16362.5084,490.535661,611.15324,28
2516,16362.6387,490.539568,611.14837,32
2517,16362.7030,490.541495,611.14597,33
2518,16362.8966,490.547299,611.13874,23
2519,16363.0833,490.552896,611.13177,35
2520,16363.2689,490.558460,611.12483,25
2521,16363.3513,490.560931,611.12176,29
2522,16363.4433,490.563689,611.11832,28
2523,16363.6185,490.568941,611.11178,21
2524,16363.6616,490.570233,611.11017,24
2525,16363.7840,490.573903,611.10560,35
2526,16363.9477,490.578810,611.09948,39
2527,16364.1045,490.583511,611.09363,28
2528,16364.2571,490.588086,611.08793,19
2529,16364.4067,490.592571,611.08234,29
2530,16364.5505,490.596882,611.07697,23
2531,16364.6856,490.600932,611.07193,45
2532,16364.8206,490.604979,611.06689,16
2533,16364.9489,490.608826,611.06210,28
2534,16365.0726,490.612534,611.05748,17
2535,16365.1897,490.616045,611.05311,24
2536,16365.3042,490.619477,611.04883,16
2537,16365.4111,490.622682,611.04484,30
2538,16365.4477,490.623779,611.04347,24
2539,16365.5125,490.625722,611.04105,17
2540,16365.6133,490.628744,611.03729,19
2541,16365.6989,490.631310,611.03409,38
2542,16365.7961,490.634224,611.03046,24
2543,16365.9549,490.638985,611.02454,21
2544,16366.0413,490.641575,611.02131,31
2545,16366.1041,490.643458,611.01897,21
2546,16366.3293,490.650209,611.01056,18
2547,16366.5316,490.656274,611.00301,2
2548,16366.7116,490.661670,610.99629,36
2549,16367.5232,490.686001,610.96599,29
2550,16367.7169,490.691808,610.95876,26
2551,16367.8446,490.695636,610.95399,14
2552,16368.1150,490.703743,610.94390,22
2553,16368.7153,490.721739,610.92149,30
2554,16369.5787,490.747623,610.88927,26
2555,16369.7175,490.751785,610.88409,38
2556,16370.1677,490.765281,610.86729,28
2557,16370.7023,490.781308,610.84734,39
2558,16371.6162,490.808706,610.81324,31
2559,16371.6944,490.811051,610.81033,29
2560,16372.1993,490.826187,610.79149,24
2561,16372.6686,490.840256,610.77398,32
2562,16373.6364,490.869270,610.73788,36
2563,16374.2116,490.886514,610.71643,30
2564,16374.6139,490.898575,610.70142,38
2565,16375.2449,490.917492,610.67789,20
2566,16375.5939,490.927955,610.66487,32
2567,16375.6254,490.928899,610.66370,32
2568,16376.2025,490.946200,610.64218,26
2569,16376.5403,490.956327,610.62958,34
2570,16377.5096,490.985386,610.59344,35
2571,16377.5962,490.987982,610.59022,28
2572,16378.0988,491.003050,610.57148,16
2573,16378.1745,491.005319,610.56866,32
2574,16378.4466,491.013476,610.55851,38
2575,16378.8385,491.025225,610.54390,16
2576,16379.4086,491.042316,610.52265,30
2577,16379.5521,491.046618,610.51730,35
2578,16380.1195,491.063629,610.49616,37
2579,16380.3314,491.069981,610.48826,37
2580,16381.2866,491.098618,610.45266,36
2581,16381.4838,491.104529,610.44531,30
2582,16382.0539,491.121621,610.42407,32
2583,16382.1990,491.125971,610.41866,39
2584,16383.1442,491.154307,610.38345,32
2585,16383.3978,491.161910,610.37400,36
2586,16383.9610,491.178794,610.35302,28
2587,16384.0439,491.181279,610.34993,34
2588,16384.9834,491.209445,610.31493,39
2589,16385.2875,491.218561,610.30360,31
2590,16385.7260,491.231707,610.28727,16
2591,16385.8613,491.235764,610.28223,48
2592,16386.7999,491.263902,610.24728,36
2593,16387.1604,491.274710,610.23385,36
2594,16387.4610,491.283721,610.22266,14
2595,16387.6758,491.290161,610.21466,37
2596,16387.7178,491.291420,610.21310,27
2597,16388.5052,491.315026,610.18378,14
2598,16388.6005,491.317883,610.18023,39
2599,16388.6898,491.320560,610.17690,14
2600,16389.0099,491.330156,610.16499,30
2601,16389.1320,491.333817,610.16044,17
2602,16389.4648,491.343794,610.14805,46
2603,16389.5660,491.346828,610.14428,34
2604,16390.3774,491.371153,610.11408,34
2605,16390.8418,491.385075,610.09679,37
2606,16391.2299,491.396710,610.08235,37
2607,16391.2669,491.397819,610.08097,18
2608,16391.3913,491.401549,610.07634,29
2609,16391.9835,491.419302,610.05430,17
2610,16392.1373,491.423913,610.04857,41
2611,16392.4097,491.432080,610.03844,15
2612,16392.6519,491.439341,610.02942,32
2613,16392.9771,491.449090,610.01732,43
2614,16393.1977,491.455703,610.00911,34
2615,16393.8744,491.475990,609.98393,36
2616,16394.0089,491.480022,609.97893,24
2617,16394.4427,491.493027,609.96279,37
2618,16394.7031,491.500834,609.95310,40
2619,16394.9842,491.509261,609.94264,31
2620,16395.1930,491.515521,609.93488,16
2621,16395.5966,491.527621,609.91986,45
2622,16396.2110,491.546040,609.89701,33
2623,16396.4110,491.552036,609.88957,47
2624,16396.7521,491.562262,609.87688,39
2625,16397.2925,491.578462,609.85678,37
2626,16397.9618,491.598527,609.83189,39
2627,16398.0976,491.602599,609.82684,43
2628,16398.3260,491.609446,609.81834,15
2629,16398.4948,491.614506,609.81207,34
2630,16398.7310,491.621587,609.80328,18
2631,16398.9719,491.628809,609.79432,45
2632,16399.4186,491.642201,609.77771,16
2633,16399.6889,491.650305,609.76766,34
2634,16399.7657,491.652607,609.76481,47
2635,16400.2225,491.666302,609.74783,42
2636,16400.2558,491.667300,609.74659,30
2637,16400.6295,491.678503,609.73269,39
2638,16401.4041,491.701725,609.70390,56
2639,16401.7763,491.712883,609.69006,18
2640,16401.9231,491.717284,609.68460,32
2641,16402.0959,491.722465,609.67818,21
2642,16402.2698,491.727678,609.67172,45
2643,16402.9349,491.747617,609.64700,22
2644,16403.0420,491.750828,609.64302,48
2645,16403.0855,491.752132,609.64140,38
2646,16403.6070,491.767766,609.62202,38
2647,16403.8883,491.776199,609.61156,40
2648,16404.3676,491.790568,609.59375,21
2649,16404.6488,491.798999,609.58330,43
2650,16404.7515,491.802078,609.57949,54
2651,16405.2703,491.817631,609.56021,34
2652,16405.4886,491.824175,609.55210,47
2653,16405.5855,491.827080,609.54850,18
2654,16406.1977,491.845433,609.52575,16
2655,16406.2371,491.846615,609.52429,49
2656,16406.4008,491.851522,609.51821,36
2657,16406.9143,491.866917,609.49913,41
2658,16407.0670,491.871494,609.49346,38
2659,16407.2711,491.877613,609.48588,18
2660,16407.3885,491.881133,609.48151,24
2661,16407.6334,491.888475,609.47242,20
2662,16407.8043,491.893598,609.46607,42
2663,16408.0292,491.900340,609.45772,43
2664,16408.2165,491.905956,609.45076,15
2665,16408.5352,491.915510,609.43892,35
2666,16408.6281,491.918295,609.43547,47
2667,16408.6928,491.920235,609.43307,14
2668,16409.0459,491.930820,609.41995,15
2669,16409.3551,491.940090,609.40847,52
2670,16409.6344,491.948463,609.39810,37
2671,16410.0021,491.959487,609.38444,19
2672,16410.0973,491.962341,609.38091,18
2673,16410.1429,491.963708,609.37922,43
2674,16410.1614,491.964262,609.37853,42
2675,16410.4476,491.972842,609.36790,20
2676,16410.8355,491.984471,609.35350,18
2677,16410.8813,491.985844,609.35180,43
2678,16410.9300,491.987304,609.34999,16
2679,16411.2217,491.996049,609.33916,49
2680,16411.4795,492.003778,609.32959,14
2681,16411.6877,492.010020,609.32186,48
2682,16411.7208,492.011012,609.32063,34
2683,16411.8234,492.014088,609.31682,15
2684,16412.3913,492.031113,609.29573,53
2685,16412.5987,492.037331,609.28803,24
2686,16412.7878,492.043000,609.28101,37
2687,16412.8450,492.044715,609.27889,18
2688,16413.1844,492.054889,609.26629,51
2689,16413.2822,492.057821,609.26266,42
2690,16413.8806,492.075761,609.24045,46
2691,16414.1840,492.084857,609.22919,15
2692,16414.3326,492.089312,609.22367,44
2693,16414.5213,492.094969,609.21667,17
2694,16414.6677,492.099358,609.21124,51
2695,16414.8202,492.103930,609.20558,37
2696,16415.1696,492.114404,609.19261,18
2697,16415.3503,492.119822,609.18590,53
2698,16415.5165,492.124804,609.17974,19
2699,16415.8551,492.134955,609.16717,43
2700,16415.9983,492.139248,609.16186,19
2701,16416.1275,492.143121,609.15706,44
2702,16416.3433,492.149591,609.14905,44
2703,16416.4410,492.152520,609.14543,14
2704,16416.8001,492.163285,609.13210,46
2705,16417.1400,492.173475,609.11949,15
2706,16417.3635,492.180176,609.11120,44
2707,16417.5685,492.186321,609.10360,51
2708,16417.7244,492.190995,609.09781,23
2709,16417.8422,492.194527,609.09344,36
2710,16418.1088,492.202519,609.08355,21
2711,16418.2307,492.206174,609.07903,53
2712,16418.4248,492.211993,609.07183,24
2713,16418.5464,492.215638,609.06732,16
2714,16418.7223,492.220912,609.06079,15
2715,16418.8473,492.224659,609.05615,39
2716,16418.9874,492.228859,609.05096,42
2717,16419.3227,492.238911,609.03852,42
2718,16419.3742,492.240455,609.03661,17
2719,16419.6390,492.248394,609.02679,46
2720,16419.6840,492.249743,609.02512,17
2721,16420.2553,492.266870,609.00393,18
2722,16420.3131,492.268603,609.00179,47
2723,16420.3886,492.270866,608.99899,51
2724,16420.6268,492.278007,608.99015,19
2725,16420.7824,492.282672,608.98438,40
2726,16420.9254,492.286959,608.97908,21
2727,16421.0312,492.290131,608.97515,53
2728,16421.0782,492.291540,608.97341,22
2729,16421.5764,492.306475,608.95494,14
2730,16421.7627,492.312060,608.94803,60
2731,16421.8537,492.314789,608.94465,16
2732,16422.1515,492.323716,608.93361,17
2733,16422.2219,492.325827,608.93100,44
2734,16422.4001,492.331169,608.92439,48
2735,16422.7676,492.342187,608.91077,25
2736,16423.0633,492.351051,608.89980,19
2737,16423.1316,492.353099,608.89727,52
2738,16423.1807,492.354571,608.89545,49
2739,16423.3581,492.359889,608.88887,21
2740,16423.5867,492.366743,608.88040,18
2741,16423.6405,492.368355,608.87840,39
2742,16423.7514,492.371680,608.87429,54
2743,16423.8178,492.373671,608.87183,17
2744,16424.1167,492.382632,608.86075,15
2745,16424.2547,492.386769,608.85563,17
2746,16424.4721,492.393286,608.84757,47
2747,16424.5411,492.395355,608.84502,18
2748,16424.5844,492.396653,608.84341,40
2749,16425.0393,492.410290,608.82655,45
2750,16425.0827,492.411592,608.82494,50
2751,16425.2602,492.416913,608.81836,22
2752,16425.4268,492.421907,608.81219,20
2753,16425.7121,492.430460,608.80161,26
2754,16425.7944,492.432928,608.79856,53
2755,16425.9696,492.438180,608.79207,46
2756,16426.0784,492.441442,608.78804,22
2757,16426.3287,492.448946,608.77876,15
2758,16426.3987,492.451044,608.77616,59
2759,16426.5794,492.456461,608.76947,17
2760,16426.6274,492.457900,608.76769,16
2761,16426.8530,492.464664,608.75933,21
2762,16427.0964,492.471961,608.75031,48
2763,16427.3308,492.478988,608.74162,42
2764,16427.6864,492.489649,608.72845,49
2765,16427.7250,492.490806,608.72701,37
2766,16427.7762,492.492341,608.72512,47
2767,16427.9820,492.498510,608.71749,21
2768,16428.3786,492.510400,608.70280,53
2769,16428.5444,492.515371,608.69665,20
2770,16428.6757,492.519307,608.69179,46
2771,16428.8236,492.523741,608.68631,29
2772,16428.9579,492.527767,608.68133,54
2773,16429.1126,492.532405,608.67560,47
2774,16429.6404,492.548228,608.65605,47
2775,16429.9234,492.556712,608.64556,22
2776,16429.9966,492.558907,608.64285,40
2777,16430.1829,492.564492,608.63595,41
2778,16430.2088,492.565268,608.63499,49
2779,16430.4300,492.571900,608.62680,47
2780,16430.8834,492.585492,608.61000,56
2781,16430.9946,492.588826,608.60588,37
2782,16431.2504,492.596495,608.59641,20
2783,16431.2983,492.597931,608.59464,52
2784,16431.4428,492.602263,608.58928,57
2785,16431.5945,492.606810,608.58366,17
2786,16431.7270,492.610783,608.57876,42
2787,16432.0533,492.620565,608.56667,23
2788,16432.1047,492.622106,608.56477,52
2789,16432.3019,492.628018,608.55747,21
2790,16432.5837,492.636466,608.54703,44
2791,16432.6540,492.638573,608.54443,52
2792,16433.0028,492.649030,608.53151,50
2793,16433.0912,492.651680,608.52824,18
2794,16433.3102,492.658246,608.52013,56
2795,16433.4181,492.661481,608.51613,22
2796,16433.7432,492.671227,608.50409,20
2797,16433.8460,492.674309,608.50029,72
2798,16434.1103,492.682232,608.49050,28
2799,16434.2595,492.686705,608.48498,42
2800,16434.3474,492.689340,608.48172,21
2801,16434.4922,492.693681,608.47636,49
2802,16435.0203,492.709513,608.45681,60
2803,16435.0871,492.711516,608.45434,45
2804,16435.3368,492.719002,608.44509,18
2805,16435.4967,492.723795,608.43917,49
2806,16435.6567,492.728592,608.43325,57
2807,16435.8264,492.733680,608.42697,25
2808,16436.0837,492.741393,608.41744,21
2809,16436.1740,492.744100,608.41410,62
2810,16436.3081,492.748121,608.40914,56
2811,16436.4802,492.753280,608.40276,19
2812,16436.7105,492.760184,608.39424,41
2813,16436.7993,492.762846,608.39095,52
2814,16437.0444,492.770194,608.38188,19
2815,16437.3086,492.778115,608.37210,49
2816,16437.4085,492.781110,608.36841,30
2817,16437.5089,492.784120,608.36469,44
2818,16437.9158,492.796318,608.34963,67
2819,16437.9854,492.798405,608.34705,21
2820,16438.2083,492.805087,608.33881,36
2821,16438.4236,492.811542,608.33084,56
2822,16438.5785,492.816185,608.32511,21
2823,16438.6896,492.819516,608.32099,49
2824,16438.8972,492.825740,608.31331,22
2825,16439.0266,492.829619,608.30852,50
2826,16439.0820,492.831280,608.30647,43
2827,16439.5177,492.844342,608.29035,51
2828,16439.7759,492.852083,608.28080,35
2829,16439.8496,492.854292,608.27807,44
2830,16440.0171,492.859314,608.27187,23
2831,16440.1130,492.862189,608.26833,59
2832,16440.2376,492.865924,608.26372,49
2833,16440.5909,492.876516,608.25064,61
2834,16440.6928,492.879571,608.24687,18
2835,16440.8945,492.885617,608.23941,17
2836,16440.9911,492.888513,608.23584,48
2837,16441.1768,492.894081,608.22897,51
2838,16441.2768,492.897078,608.22527,18
2839,16441.3713,492.899911,608.22177,40
2840,16441.5561,492.905452,608.21494,22
2841,16441.6478,492.908201,608.21154,49
2842,16441.7531,492.911358,608.20765,19
2843,16442.1163,492.922246,608.19421,53
2844,16442.2226,492.925433,608.19028,58
2845,16442.4005,492.930766,608.18370,17
2846,16442.4876,492.933377,608.18048,49
2847,16442.5922,492.936513,608.17661,16
2848,16442.6837,492.939256,608.17323,56
2849,16442.9208,492.946364,608.16446,23
2850,16443.2161,492.955217,608.15354,56
2851,16443.2459,492.956111,608.15243,50
2852,16443.3331,492.958725,608.14921,22
2853,16443.4138,492.961144,608.14622,20
2854,16443.5805,492.966142,608.14006,41
2855,16443.6422,492.967991,608.13778,16
2856,16443.6978,492.969658,608.13572,48
2857,16444.0324,492.979689,608.12335,18
2858,16444.2541,492.986336,608.11515,57
